Time [s],X [g],Y [g],Z [g]
1848.706994,-0.03645211,0.04015677,1.039428
1848.7081993,-0.03864171,0.03975222,1.040823
1848.7094045,-0.03319901,0.03272687,1.045606
1848.7106098,-0.03164913,0.03121751,1.045894
1848.711815,-0.03077546,0.02962658,1.047147
1848.7130203,-0.03273971,0.03433203,1.052599
1848.7142255,-0.03044894,0.03431078,1.052883
1848.7154308,-0.03080738,0.0347522,1.053814
1848.716636,-0.02894433,0.03381106,1.050495
1848.7178412,-0.02691978,0.03211837,1.053867
1848.7190465,-0.02881172,0.03597377,1.050352
1848.7202517,-0.03440811,0.03258004,1.054409
1848.721457,-0.0501406,0.03739524,1.046848
1848.7226622,-0.05953331,0.06187803,1.042103
1848.7238675,-0.03061406,0.08450752,1.07032
1848.7250727,-0.009343237,0.08363613,1.10654
1848.726278,-0.001731396,0.07509734,1.12207
1848.7274832,-0.008559033,0.06345322,1.130853
1848.7286885,-0.01165983,0.05250509,1.110565
1848.7298937,-0.02889773,0.05566907,1.077658
1848.731099,-0.0444556,0.05428868,1.067736
1848.7323042,-0.05218695,0.04739258,1.063203
1848.7335095,-0.05844647,0.03971679,1.052015
1848.7347147,-0.05366014,0.02958881,1.052519
1848.73592,-0.04727776,0.01925427,1.043126
1848.7371252,-0.04266381,0.02152561,1.031787
1848.7383305,-0.03749375,0.01862818,1.018851
1848.7395357,-0.0374144,0.02351352,1.014253
1848.740741,-0.03185064,0.01833166,1.015797
1848.7419462,-0.0281485,0.01245685,1.006202
1848.7431514,-0.0258794,0.01245953,1.000143
1848.7443567,-0.02968311,0.01673387,0.9915711
1848.7455619,-0.03343022,0.02503319,0.9894483
1848.7467672,-0.02960563,0.03041909,0.9821811
1848.7479724,-0.02904791,0.02748106,0.9850212
1848.7491777,-0.02849691,0.03055678,0.9850336
1848.7503829,-0.02870364,0.03063612,0.9849608
1848.7515882,-0.02466337,0.02802071,0.9928103
1848.7527934,-0.0225767,0.02592599,0.9997812
1848.7539987,-0.02171759,0.03008481,1.005763
1848.7552039,-0.02153713,0.02469248,1.013612
1848.7564092,-0.01583736,0.02520874,1.013943
1848.7576144,-0.01971842,0.03193901,1.021622
1848.7588197,-0.02645519,0.02944558,1.021346
1848.7600249,-0.03205636,0.03078745,1.029689
1848.7612302,-0.0377733,0.0352886,1.036393
1848.7624354,-0.03345957,0.03723529,1.037647
1848.7636407,-0.04284576,0.03402734,1.048213
1848.7648459,-0.03976728,0.03428824,1.043455
1848.7660511,-0.04343362,0.03465177,1.043464
1848.7672564,-0.04187094,0.03889407,1.048482
1848.7684616,-0.04959509,0.04085127,1.050575
1848.7696669,-0.05342577,0.04326612,1.051192
1848.7708721,-0.06646487,0.04149035,1.051852
1848.7720774,-0.06995137,0.04223678,1.053643
1848.7732826,-0.07310498,0.04814538,1.059092
1848.7744879,-0.0727106,0.04325474,1.059905
1848.7756931,-0.07343376,0.04968604,1.056314
1848.7768984,-0.06953926,0.05071733,1.056601
1848.7781036,-0.06561951,0.04976618,1.053645
1848.7793089,-0.05848213,0.04990459,1.055515
1848.7805141,-0.05869548,0.05412973,1.055964
1848.7817194,-0.05144165,0.05254061,1.047732
1848.7829246,-0.04675943,0.05250617,1.049191
1848.7841299,-0.04194514,0.05695819,1.048867
1848.7853351,-0.04079579,0.06108005,1.049857
1848.7865404,-0.03844844,0.06209031,1.045946
1848.7877456,-0.04068318,0.06748188,1.045106
1848.7889508,-0.03845374,0.06222337,1.050511
1848.7901561,-0.04311851,0.06171197,1.051114
1848.7913613,-0.03830661,0.06407611,1.049735
1848.7925666,-0.03374977,0.06434619,1.05556
1848.7937718,-0.03795299,0.06805558,1.054629
1848.7949771,-0.03912944,0.07099584,1.055089
1848.7961823,-0.04617107,0.07517654,1.051657
1848.7973876,-0.04131022,0.0735272,1.055449
1848.7985989,-0.04756702,0.07604949,1.059454
1848.7998042,-0.04804927,0.07753813,1.060093
1848.8010094,-0.04700834,0.0765682,1.055418
1848.8022147,-0.04976681,0.07773425,1.052867
1848.8034199,-0.04750019,0.07546911,1.056639
1848.8046252,-0.04813854,0.07575486,1.054752
1848.8058304,-0.05457242,0.07800554,1.049757
1848.8070357,-0.04928009,0.08100127,1.051196
1848.8082409,-0.05006245,0.07776238,1.051368
1848.8094462,-0.0536487,0.07622424,1.048562
1848.8106514,-0.05065861,0.07485447,1.051736
1848.8118567,-0.04653834,0.07568809,1.045415
1848.8130619,-0.044241,0.07001627,1.041051
1848.8142672,-0.03863053,0.07008088,1.036127
1848.8154725,-0.03641705,0.06944127,1.034164
1848.8166777,-0.03246802,0.06363349,1.022342
1848.817883,-0.03739782,0.0671646,1.024029
1848.8190882,-0.03798269,0.06332058,1.022882
1848.8202935,-0.03332613,0.06032562,1.017125
1848.8214987,-0.03618713,0.05880418,1.015589
1848.822704,-0.03087312,0.05654425,1.016864
1848.8239092,-0.03536655,0.0540356,1.013456
1848.8251145,-0.02606359,0.05520569,1.011209
1848.8263197,-0.02241127,0.04638591,1.010645
1848.827525,-0.0195134,0.04553526,1.009208
1848.8287302,-0.02161108,0.04301708,1.004607
1848.8299355,-0.02344054,0.03998347,1.004132
1848.8311408,-0.02428098,0.03727722,1.003873
1848.832346,-0.02610137,0.03694567,1.002381
1848.8335513,-0.02390736,0.03360625,1.008071
1848.8347565,-0.02687499,0.02399202,1.006631
1848.8359618,-0.02933891,0.02326277,1.002046
